Case,family,father,mother,midparentHeight,children,childNum,gender,childHeight
292,71,70.0,65.0,70.1,6,6,female,63.0
132,35,71.0,69.0,72.76,5,5,female,67.0
301,73,70.0,65.0,70.1,3,2,male,72.5
366,85,70.5,63.0,69.27,5,5,female,64.0
145,38,71.0,66.0,71.14,6,5,female,64.5
136,36,71.0,67.0,71.68,4,4,female,67.0
165,45,71.0,65.0,70.6,3,1,male,68.0
29,8,74.0,66.5,72.91,3,1,female,70.5
523,119,69.0,62.0,67.98,5,3,male,71.0
194,52,71.0,63.5,69.79,5,1,male,71.0
333,79,70.5,64.0,69.81,8,6,male,68.0
594,133,68.0,65.5,69.37,7,4,male,65.5
170,46,71.0,64.0,70.06,8,3,female,67.5
683,149,68.2,63.5,68.39,5,3,male,67.0
141,38,71.0,66.0,71.14,6,1,male,70.0
174,46,71.0,64.0,70.06,8,7,female,65.5
7,2,75.5,66.5,73.66,4,3,female,65.5
598,134,68.0,65.0,69.1,4,1,male,72.0
406,95,70.0,58.5,66.59,3,2,male,64.5
74,20,72.7,69.0,73.61,8,6,female,68.5
636,138,68.0,64.0,68.56,5,5,female,62.5
535,120,69.5,62.0,68.23,11,10,female,62.0
808,175,66.0,66.0,68.64,6,5,female,62.0
146,38,71.0,66.0,71.14,6,6,female,63.0
235,60,71.0,58.0,66.82,2,1,male,71.5
221,56,71.0,62.0,68.98,5,5,female,60.0
914,198,64.0,64.0,66.56,7,4,female,64.0
426,99,69.0,66.0,70.14,8,3,male,71.7
133,36,71.0,67.0,71.68,4,1,male,73.2
670,145,68.0,63.0,68.02,8,6,female,63.0
520,118,69.5,62.0,68.23,3,3,male,69.0
186,49,71.5,64.5,70.58,7,4,female,66.0
42,12,74.0,61.0,69.94,1,1,female,65.0
568,126,69.0,60.0,66.9,4,3,female,61.7
109,29,72.5,63.5,70.54,3,3,female,66.7
921,199,64.0,64.0,66.56,7,4,female,65.0
57,16,73.0,65.0,71.6,9,8,female,64.5
347,82,70.0,64.0,69.56,9,7,female,69.0
844,184,66.0,60.0,65.4,1,1,male,65.0
524,119,69.0,62.0,67.98,5,4,male,69.0
25,7,74.0,68.0,73.72,6,3,male,73.0
381,89,70.5,62.0,68.73,8,3,male,69.5
602,135,68.5,65.0,69.35,8,1,male,69.2
548,122,69.0,62.0,67.98,4,4,female,66.0
339,81,70.0,64.0,69.56,4,3,female,64.0
52,16,73.0,65.0,71.6,9,3,male,70.2
445,103,69.0,66.5,70.41,7,1,male,73.0
898,194,65.0,63.0,66.52,2,2,female,63.0
590,132,68.0,65.5,69.37,2,2,female,64.0
265,67,70.5,65.0,70.35,4,1,male,72.0
479,108,69.0,65.0,69.6,7,2,male,68.5
635,138,68.0,64.0,68.56,5,4,male,68.5
448,103,69.0,66.5,70.41,7,4,male,70.5
382,89,70.5,62.0,68.73,8,4,male,69.5
19,5,75.0,58.5,69.09,6,4,female,66.5
667,145,68.0,63.0,68.02,8,3,male,66.0
529,120,69.5,62.0,68.23,11,4,female,65.2
368,86,70.0,63.5,69.29,4,2,male,67.5
84,23,72.0,65.0,71.1,7,2,male,70.5
62,17,73.0,64.5,71.33,6,4,male,62.5
273,68,70.5,65.0,70.35,5,5,female,61.0
286,70,70.0,65.0,70.1,5,5,female,62.5
361,84,70.5,63.0,69.27,4,4,female,63.5
355,83,70.0,63.7,69.398,8,6,female,62.5
389,90,70.3,62.7,69.008,7,3,male,69.2
508,115,69.0,63.5,68.79,7,2,male,67.0
13,4,75.0,64.0,72.06,5,3,female,67.0
183,49,71.5,64.5,70.58,7,1,male,72.0
369,86,70.0,63.5,69.29,4,3,female,67.5
626,136,68.0,64.0,68.56,10,9,female,62.0
573,129,68.5,67.0,70.43,3,1,male,73.0
224,57,71.0,62.5,69.25,5,3,female,64.0
533,120,69.5,62.0,68.23,11,8,female,63.5
651,141,68.0,63.0,68.02,8,4,male,66.0
429,99,69.0,66.0,70.14,8,6,female,65.0
441,102,69.0,66.0,70.14,6,3,male,68.0
543,121,69.0,62.5,68.25,8,7,female,62.5
885,192,65.0,65.0,67.6,6,1,male,69.2
177,47,71.7,64.5,70.68,4,2,male,71.0
621,136,68.0,64.0,68.56,10,4,male,67.0
486,109,69.5,64.5,69.58,7,2,male,68.0
454,104,69.5,66.5,70.66,4,3,female,64.5
164,44,71.5,65.0,70.85,2,2,male,67.7
249,64,70.0,67.0,71.18,5,2,male,69.0
591,133,68.0,65.5,69.37,7,1,male,71.7
825,179,66.0,63.5,67.29,2,2,female,62.0
376,88,70.0,63.0,69.02,4,2,male,66.5
75,20,72.7,69.0,73.61,8,7,female,68.0
114,31,72.5,62.0,69.73,6,4,female,66.0
530,120,69.5,62.0,68.23,11,5,female,64.7
815,176,66.5,65.0,68.35,8,6,female,60.5
391,90,70.3,62.7,69.008,7,5,female,64.0
105,28,72.0,63.0,70.02,6,5,female,66.5
115,31,72.5,62.0,69.73,6,5,female,65.0
605,135,68.5,65.0,69.35,8,4,male,66.0
93,26,72.0,63.0,70.02,5,1,male,70.5
545,122,69.0,62.0,67.98,4,1,male,72.0
90,24,72.0,65.5,71.37,1,1,female,65.5
337,81,70.0,64.0,69.56,4,1,male,68.0
923,199,64.0,64.0,66.56,7,6,female,64.0
858,185,66.0,59.0,64.86,15,14,female,58.0
869,189,65.0,66.0,68.14,5,1,male,67.0
705,156,68.0,60.0,66.4,4,3,male,66.5
912,198,64.0,64.0,66.56,7,2,male,68.0
569,126,69.0,60.0,66.9,4,4,female,60.5
95,26,72.0,63.0,70.02,5,3,male,69.0
12,4,75.0,64.0,72.06,5,2,male,68.5
397,92,70.0,61.0,67.94,2,1,male,71.2
618,136,68.0,64.0,68.56,10,1,male,71.0
44,13,73.0,67.0,72.68,2,2,female,62.0
43,13,73.0,67.0,72.68,2,1,male,71.0
330,79,70.5,64.0,69.81,8,3,male,69.0
168,46,71.0,64.0,70.06,8,1,female,68.0
423,98,69.0,67.0,70.68,1,1,female,64.0
839,182,66.0,61.5,66.21,1,1,male,70.0
558,124,69.0,61.0,67.44,9,5,male,63.0
704,156,68.0,60.0,66.4,4,2,male,67.0
101,28,72.0,63.0,70.02,6,1,male,73.0
179,47,71.7,64.5,70.68,4,4,female,67.0
417,97,69.0,68.5,71.49,10,5,female,66.0
604,135,68.5,65.0,69.35,8,3,male,66.0
848,185,66.0,59.0,64.86,15,4,male,66.0
614,136A,68.5,65.0,69.35,8,5,male,67.7
178,47,71.7,64.5,70.68,4,3,male,70.5
882,190,65.0,65.0,67.6,9,9,female,59.0
630,137,68.0,64.0,68.56,4,3,female,65.5
740,163,67.0,65.5,68.87,5,3,female,65.5
637,139,68.0,64.5,68.83,1,1,female,62.0
384,89,70.5,62.0,68.73,8,6,female,65.0
258,66,70.0,66.5,70.91,11,5,female,69.2
589,132,68.0,65.5,69.37,2,1,male,66.0
336,80,70.5,64.5,70.08,1,1,female,60.0
794,173,66.0,67.0,69.18,9,5,female,64.0
16,5,75.0,58.5,69.09,6,1,male,72.0
4,1,78.5,67.0,75.43,4,4,female,69.0
449,103,69.0,66.5,70.41,7,5,male,67.0
257,66,70.0,66.5,70.91,11,4,male,66.5
570,127,69.0,60.5,67.17,1,1,male,69.5
659,142,68.5,63.5,68.54,4,4,female,65.5
452,104,69.5,66.5,70.66,4,1,male,70.5
394,91,70.5,62.0,68.73,3,1,male,72.0
223,57,71.0,62.5,69.25,5,2,female,64.0
180,48,71.0,64.0,70.06,3,1,male,68.0
498,112,69.0,63.0,68.52,3,2,female,67.5
458,105,69.0,66.5,70.41,6,3,female,67.5
325,78,70.0,64.2,69.668,5,3,female,62.5
757,166,67.5,65.0,68.85,11,8,female,63.0
10,3,75.0,64.0,72.06,2,2,female,68.0
250,64,70.0,67.0,71.18,5,3,female,66.0
23,7,74.0,68.0,73.72,6,1,male,76.5
357,83,70.0,63.7,69.398,8,8,female,61.0
222,57,71.0,62.5,69.25,5,1,male,70.0
622,136,68.0,64.0,68.56,10,5,female,65.0
803,174,66.0,66.0,68.64,5,5,female,65.5
918,199,64.0,64.0,66.56,7,1,male,70.5
549,123,69.5,61.0,67.69,5,1,male,70.0
341,82,70.0,64.0,69.56,9,1,male,71.0
432,100,69.0,66.0,70.14,3,1,male,71.2
868,188,65.0,66.0,68.14,4,4,female,60.0
539,121,69.0,62.5,68.25,8,3,male,70.0
204,53,71.0,63.0,69.52,9,6,female,65.0
588,131,68.0,65.0,69.1,2,2,male,66.0
446,103,69.0,66.5,70.41,7,2,male,71.0
238,61,70.0,69.0,72.26,4,2,male,70.0
94,26,72.0,63.0,70.02,5,2,male,70.5
519,118,69.5,62.0,68.23,3,2,male,72.0
484,108,69.0,65.0,69.6,7,7,female,61.0
612,136A,68.5,65.0,69.35,8,3,male,68.7
781,171,67.0,61.0,66.44,1,1,male,67.0
285,70,70.0,65.0,70.1,5,4,female,62.5
185,49,71.5,64.5,70.58,7,3,male,70.0
758,166,67.5,65.0,68.85,11,9,female,63.0
435,101,69.0,66.7,70.518,4,1,male,75.0
744,164,67.0,65.5,68.87,4,2,male,67.7
154,41,71.7,65.5,71.22,1,1,male,70.5
76,20,72.7,69.0,73.61,8,8,female,66.0
451,103,69.0,66.5,70.41,7,7,female,61.0
747,165,67.0,65.0,68.6,3,1,male,65.0
571,128,68.7,70.5,72.42,2,1,male,71.0
278,69,70.0,65.0,70.1,8,5,male,65.0
69,20,72.7,69.0,73.61,8,1,male,73.2
447,103,69.0,66.5,70.41,7,3,male,70.5
585,130,68.5,66.5,70.16,11,10,male,66.2
189,49,71.5,64.5,70.58,7,7,female,62.0
272,68,70.5,65.0,70.35,5,4,female,61.0
690,153,68.0,61.0,66.94,5,1,male,68.5
576,130,68.5,66.5,70.16,11,1,male,70.0
237,61,70.0,69.0,72.26,4,1,male,71.0
488,109,69.5,64.5,69.58,7,4,female,65.2
89,23,72.0,65.0,71.1,7,7,female,65.0
826,180,66.5,63.0,67.27,6,1,male,67.2
118,32,72.0,62.0,69.48,5,2,male,72.0
126,33,72.0,62.0,69.48,5,5,female,68.0
763,167,67.0,64.0,68.06,4,3,male,67.0
290,71,70.0,65.0,70.1,6,4,female,65.0
239,61,70.0,69.0,72.26,4,3,male,69.0
1,1,78.5,67.0,75.43,4,1,male,73.2
925,200,64.0,63.0,66.02,1,1,male,64.5
514,116,69.0,63.5,68.79,3,1,male,70.5
817,176,66.5,65.0,68.35,8,8,female,57.5
501,114,69.0,63.0,68.52,6,1,male,73.0
396,91,70.5,62.0,68.73,3,3,female,60.0
552,123,69.5,61.0,67.69,5,4,female,63.0
127,34,72.0,61.0,68.94,1,1,female,65.7
279,69,70.0,65.0,70.1,8,6,female,64.5
830,180,66.5,63.0,67.27,6,5,female,65.0
117,32,72.0,62.0,69.48,5,1,male,74.0
474,107,69.0,66.0,70.14,9,6,female,65.5
229,58,71.0,62.0,68.98,7,3,male,69.0
645,140,68.0,64.0,68.56,10,8,female,65.0
58,16,73.0,65.0,71.6,9,9,female,63.5
835,181,66.5,62.5,67.0,7,4,female,62.5
850,185,66.0,59.0,64.86,15,6,male,65.5
370,86,70.0,63.5,69.29,4,4,female,63.5
269,68,70.5,65.0,70.35,5,1,female,68.0
47,15,73.0,66.5,72.41,3,1,male,71.0
350,83,70.0,63.7,69.398,8,1,male,70.0
196,52,71.0,63.5,69.79,5,3,female,66.0
934,204,62.5,63.0,65.27,2,2,female,57.0
778,170,67.5,62.0,67.23,5,3,male,69.0
686,150,68.0,62.5,67.75,1,1,male,68.5
264,66,70.0,66.5,70.91,11,11,female,63.7
444,102,69.0,66.0,70.14,6,6,female,62.5
629,137,68.0,64.0,68.56,4,2,male,63.0
305,75,70.0,64.7,69.938,7,1,male,72.0
342,82,70.0,64.0,69.56,9,2,male,70.0
902,196,65.5,63.0,66.77,4,1,male,71.0
150,40,71.0,66.0,71.14,5,2,male,72.0
125,33,72.0,62.0,69.48,5,4,male,70.0
733,162,67.0,65.0,68.6,6,2,male,67.5
51,16,73.0,65.0,71.6,9,2,male,70.5
354,83,70.0,63.7,69.398,8,5,female,63.2
864,187,65.0,67.0,68.68,1,1,female,63.0
143,38,71.0,66.0,71.14,6,3,male,68.5
471,107,69.0,66.0,70.14,9,3,male,69.0
400,93,70.0,60.0,67.4,4,2,male,64.5
583,130,68.5,66.5,70.16,11,8,male,68.0
321,77,70.0,64.0,69.56,4,3,male,66.7
20,5,75.0,58.5,69.09,6,5,female,62.5
754,166,67.5,65.0,68.85,11,5,female,63.0
737,162,67.0,65.0,68.6,6,6,female,63.5
753,166,67.5,65.0,68.85,11,4,female,64.0
408,96,70.0,58.0,66.32,5,1,male,72.0
538,121,69.0,62.5,68.25,8,2,male,70.0
899,195,65.0,63.0,66.52,3,1,male,66.0
39,11,74.0,62.0,70.48,8,6,female,66.0
176,47,71.7,64.5,70.68,4,1,male,72.0
246,62,70.0,69.0,72.26,6,6,female,62.0
801,174,66.0,66.0,68.64,5,3,female,67.0
623,136,68.0,64.0,68.56,10,6,female,64.0
833,181,66.5,62.5,67.0,7,2,male,68.0
800,174,66.0,66.0,68.64,5,2,male,65.0
155,42,71.0,65.5,70.87,6,1,male,72.0
288,71,70.0,65.0,70.1,6,2,male,70.0
897,194,65.0,63.0,66.52,2,1,male,70.0
18,5,75.0,58.5,69.09,6,3,male,68.0
128,35,71.0,69.0,72.76,5,1,male,78.0
323,78,70.0,64.2,69.668,5,1,male,72.0
256,66,70.0,66.5,70.91,11,3,male,72.0
751,166,67.5,65.0,68.85,11,2,male,69.0
900,195,65.0,63.0,66.52,3,2,male,66.0
191,50,71.0,64.5,70.33,2,2,female,62.0
116,31,72.5,62.0,69.73,6,6,female,65.0
745,164,67.0,65.5,68.87,4,3,female,63.0
181,48,71.0,64.0,70.06,3,2,male,68.0
302,73,70.0,65.0,70.1,3,3,female,65.0
707,157,68.5,59.0,66.11,1,1,male,69.0
715,158,68.0,59.0,65.86,10,8,female,65.0
805,175,66.0,66.0,68.64,6,2,male,68.0
688,151,68.7,62.0,67.83,2,2,female,61.7
617,136A,68.5,65.0,69.35,8,8,female,63.0
518,118,69.5,62.0,68.23,3,1,male,73.0
919,199,64.0,64.0,66.56,7,2,male,68.0
46,14,73.0,67.0,72.68,2,2,male,67.0
847,185,66.0,59.0,64.86,15,3,male,66.5
158,42,71.0,65.5,70.87,6,4,male,69.0
693,153,68.0,61.0,66.94,5,4,female,63.5
172,46,71.0,64.0,70.06,8,5,female,66.5
17,5,75.0,58.5,69.09,6,2,male,69.0
512,115,69.0,63.5,68.79,7,6,female,62.0
49,15,73.0,66.5,72.41,3,3,female,66.7
906,197,65.5,60.0,65.15,5,1,male,68.0
784,172,66.0,67.0,69.18,8,3,male,67.0
516,116,69.0,63.5,68.79,3,3,female,63.0
639,140,68.0,64.0,68.56,10,2,male,67.0
481,108,69.0,65.0,69.6,7,4,female,65.0
284,70,70.0,65.0,70.1,5,3,female,64.5
674,146,68.0,63.0,68.02,6,2,male,67.0
226,57,71.0,62.5,69.25,5,5,female,62.5
27,7,74.0,68.0,73.72,6,5,female,70.5
729,161,67.0,66.0,69.14,8,6,female,68.0
438,101,69.0,66.7,70.518,4,4,male,68.5
887,192,65.0,65.0,67.6,6,3,male,68.0
365,85,70.5,63.0,69.27,5,4,female,64.5
230,58,71.0,62.0,68.98,7,4,male,69.0
38,11,74.0,62.0,70.48,8,5,female,67.0
901,195,65.0,63.0,66.52,3,3,female,63.0
375,88,70.0,63.0,69.02,4,1,male,70.0
470,107,69.0,66.0,70.14,9,2,male,72.0
903,196,65.5,63.0,66.77,4,2,male,71.0
793,173,66.0,67.0,69.18,9,4,female,67.0
719,159,67.0,66.2,69.248,5,2,male,72.7
195,52,71.0,63.5,69.79,5,2,male,67.0
796,173,66.0,67.0,69.18,9,7,female,62.0
908,197,65.5,60.0,65.15,5,3,male,67.0
504,114,69.0,63.0,68.52,6,4,male,64.0
905,196,65.5,63.0,66.77,4,4,female,63.5
774,169,67.0,63.0,67.52,3,2,male,68.0
580,130,68.5,66.5,70.16,11,5,male,68.5
904,196,65.5,63.0,66.77,4,3,male,69.0
163,44,71.5,65.0,70.85,2,1,male,68.5
654,141,68.0,63.0,68.02,8,7,female,62.0
153,40,71.0,66.0,71.14,5,5,female,66.0
634,138,68.0,64.0,68.56,5,3,male,69.0
652,141,68.0,63.0,68.02,8,5,male,66.0
846,185,66.0,59.0,64.86,15,2,male,67.0
112,31,72.5,62.0,69.73,6,2,male,70.0
227,58,71.0,62.0,68.98,7,1,male,70.5
656,142,68.5,63.5,68.54,4,1,male,73.5
104,28,72.0,63.0,70.02,6,4,female,70.0
422,97,69.0,68.5,71.49,10,10,female,64.0
420,97,69.0,68.5,71.49,10,8,female,65.0
698,155,68.0,60.0,66.4,7,3,female,61.0
587,131,68.0,65.0,69.1,2,1,male,67.5
120,32,72.0,62.0,69.48,5,4,female,67.5
54,16,73.0,65.0,71.6,9,5,male,69.2
152,40,71.0,66.0,71.14,5,4,male,66.0
404,94,70.0,60.0,67.4,2,2,female,65.0
881,190,65.0,65.0,67.6,9,8,female,61.0
208,54,71.0,63.0,69.52,4,1,male,71.0
787,172,66.0,67.0,69.18,8,6,female,62.0
724,161,67.0,66.0,69.14,8,1,male,73.0
9,3,75.0,64.0,72.06,2,1,male,71.0
752,166,67.5,65.0,68.85,11,3,female,64.0
37,11,74.0,62.0,70.48,8,4,female,67.0
453,104,69.5,66.5,70.66,4,2,male,67.5
254,66,70.0,66.5,70.91,11,1,male,73.0
304,74,70.0,65.0,70.1,2,2,male,69.0
695,154,68.0,60.2,66.508,1,1,male,66.7
572,128,68.7,70.5,72.42,2,2,female,61.7
624,136,68.0,64.0,68.56,10,7,female,63.0
661,144,68.0,63.0,68.02,4,1,male,70.0
671,145,68.0,63.0,68.02,8,7,female,62.0
263,66,70.0,66.5,70.91,11,10,female,64.2
611,136A,68.5,65.0,69.35,8,2,male,70.5
298,72,70.0,65.0,70.1,7,6,female,65.7
415,97,69.0,68.5,71.49,10,3,male,70.0
151,40,71.0,66.0,71.14,5,3,male,71.0
735,162,67.0,65.0,68.6,6,4,female,65.0
641,140,68.0,64.0,68.56,10,4,female,66.0
828,180,66.5,63.0,67.27,6,3,male,65.0
551,123,69.5,61.0,67.69,5,3,male,69.0
738,163,67.0,65.5,68.87,5,1,male,70.0
489,109,69.5,64.5,69.58,7,5,female,64.5
148,39,71.0,66.0,71.14,2,2,female,67.0
147,39,71.0,66.0,71.14,2,1,male,71.0
685,149,68.2,63.5,68.39,5,5,female,64.5
867,188,65.0,66.0,68.14,4,3,female,63.0
689,152,68.0,62.5,67.75,1,1,male,66.5
660,143,68.0,63.0,68.02,1,1,male,67.0
349,82,70.0,64.0,69.56,9,9,female,64.0
464,106,69.5,66.0,70.39,7,3,male,70.5
326,78,70.0,64.2,69.668,5,4,female,61.2
187,49,71.5,64.5,70.58,7,5,female,64.5
124,33,72.0,62.0,69.48,5,3,male,71.5
795,173,66.0,67.0,69.18,9,6,female,64.0
609,135,68.5,65.0,69.35,8,8,female,60.0
144,38,71.0,66.0,71.14,6,4,female,66.0
894,193,65.0,64.0,67.06,6,4,female,64.0
198,52,71.0,63.5,69.79,5,5,female,63.5
610,136A,68.5,65.0,69.35,8,1,male,72.0
280,69,70.0,65.0,70.1,8,7,female,63.0
294,72,70.0,65.0,70.1,7,2,male,75.0
401,93,70.0,60.0,67.4,4,3,female,65.0
123,33,72.0,62.0,69.48,5,2,male,71.5
184,49,71.5,64.5,70.58,7,2,male,71.0
203,53,71.0,63.0,69.52,9,5,female,65.0
439,102,69.0,66.0,70.14,6,1,male,70.0
247,63,70.0,68.0,71.72,1,1,male,75.0
416,97,69.0,68.5,71.49,10,4,female,66.0
713,158,68.0,59.0,65.86,10,6,male,63.0
716,158,68.0,59.0,65.86,10,9,female,62.0
827,180,66.5,63.0,67.27,6,2,male,67.0
130,35,71.0,69.0,72.76,5,3,male,73.0
638,140,68.0,64.0,68.56,10,1,male,69.0
403,94,70.0,60.0,67.4,2,1,female,65.0
731,161,67.0,66.0,69.14,8,8,female,62.0
718,159,67.0,66.2,69.248,5,1,male,72.7
851,185,66.0,59.0,64.86,15,7,male,65.0
220,56,71.0,62.0,68.98,5,4,female,64.5
642,140,68.0,64.0,68.56,10,5,female,66.0
853,185,66.0,59.0,64.86,15,9,female,64.0
891,193,65.0,64.0,67.06,6,1,male,67.0
856,185,66.0,59.0,64.86,15,12,female,61.0
625,136,68.0,64.0,68.56,10,8,female,63.0
782,172,66.0,67.0,69.18,8,1,male,70.5
708,158,68.0,59.0,65.86,10,1,male,68.0
387,90,70.3,62.7,69.008,7,1,male,70.7
907,197,65.5,60.0,65.15,5,2,male,68.0
510,115,69.0,63.5,68.79,7,4,female,65.0
268,67,70.5,65.0,70.35,4,4,male,68.5
824,179,66.0,63.5,67.29,2,1,female,64.5
442,102,69.0,66.0,70.14,6,4,female,65.0
497,112,69.0,63.0,68.52,3,1,male,69.0
113,31,72.5,62.0,69.73,6,3,male,70.0
692,153,68.0,61.0,66.94,5,3,male,64.0
233,58,71.0,62.0,68.98,7,7,female,64.0
811,176,66.5,65.0,68.35,8,2,male,68.5
608,135,68.5,65.0,69.35,8,7,female,61.0
672,145,68.0,63.0,68.02,8,8,female,62.0
374,87,70.0,63.0,69.02,4,4,female,62.0
916,198,64.0,64.0,66.56,7,6,female,62.0
786,172,66.0,67.0,69.18,8,5,male,66.0
234,59,71.0,61.0,68.44,1,1,female,62.0
732,162,67.0,65.0,68.6,6,1,male,69.7
677,146,68.0,63.0,68.02,6,5,female,63.5
318,76,70.0,64.0,69.56,7,7,female,67.0
649,141,68.0,63.0,68.02,8,2,male,70.0
411,96,70.0,58.0,66.32,5,4,female,65.0
837,181,66.5,62.5,67.0,7,6,female,62.5
710,158,68.0,59.0,65.86,10,3,male,64.7
359,84,70.5,63.0,69.27,4,2,male,68.5
259,66,70.0,66.5,70.91,11,6,female,67.2
628,137,68.0,64.0,68.56,4,1,male,66.0
633,138,68.0,64.0,68.56,5,2,male,71.2
283,70,70.0,65.0,70.1,5,2,male,65.0
377,88,70.0,63.0,69.02,4,3,female,62.0
385,89,70.5,62.0,68.73,8,7,female,64.0
225,57,71.0,62.5,69.25,5,4,female,64.0
889,192,65.0,65.0,67.6,6,5,female,64.5
759,166,67.5,65.0,68.85,11,10,female,62.5
473,107,69.0,66.0,70.14,9,5,female,66.5
348,82,70.0,64.0,69.56,9,8,female,65.0
506,114,69.0,63.0,68.52,6,6,female,62.0
640,140,68.0,64.0,68.56,10,3,male,66.0
922,199,64.0,64.0,66.56,7,5,female,64.0
865,188,65.0,66.0,68.14,4,1,male,63.0
843,183,66.0,60.0,65.4,4,4,female,60.0
620,136,68.0,64.0,68.56,10,3,male,68.0
797,173,66.0,67.0,69.18,9,8,female,60.0
646,140,68.0,64.0,68.56,10,9,female,64.0
789,172,66.0,67.0,69.18,8,8,female,61.5
557,124,69.0,61.0,67.44,9,4,male,64.0
893,193,65.0,64.0,67.06,6,3,female,64.0
578,130,68.5,66.5,70.16,11,3,male,69.0
86,23,72.0,65.0,71.1,7,4,female,66.0
243,62,70.0,69.0,72.26,6,3,female,68.0
699,155,68.0,60.0,66.4,7,4,female,60.0
160,42,71.0,65.5,70.87,6,6,female,65.0
525,119,69.0,62.0,67.98,5,5,female,63.0
36,11,74.0,62.0,70.48,8,3,female,68.0
541,121,69.0,62.5,68.25,8,5,female,63.5
171,46,71.0,64.0,70.06,8,4,female,66.5
655,141,68.0,63.0,68.02,8,8,female,61.5
829,180,66.5,63.0,67.27,6,4,female,65.0
799,174,66.0,66.0,68.64,5,1,male,66.0
790,173,66.0,67.0,69.18,9,1,male,72.0
880,190,65.0,65.0,67.6,9,7,female,62.0
734,162,67.0,65.0,68.6,6,3,female,65.5
96,26,72.0,63.0,70.02,5,4,female,65.0
564,125,69.0,60.0,66.9,3,2,female,68.0
241,62,70.0,69.0,72.26,6,1,male,70.0
743,164,67.0,65.5,68.87,4,1,male,70.0
575,129,68.5,67.0,70.43,3,3,female,67.0
691,153,68.0,61.0,66.94,5,2,male,68.0
461,105,69.0,66.5,70.41,6,6,female,63.0
