Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2011/10/29,20111029,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/28,20111028,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/27,20111027,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/26,20111026,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/25,20111025,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/24,20111024,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/23,20111023,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/22,20111022,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/21,20111021,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/20,20111020,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/19,20111019,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/18,20111018,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/17,20111017,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/16,20111016,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/15,20111015,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/14,20111014,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/13,20111013,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/12,20111012,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/11,20111011,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/10,20111010,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/09,20111009,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/08,20111008,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/07,20111007,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/06,20111006,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/05,20111005,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/04,20111004,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/03,20111003,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/02,20111002,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/10/01,20111001,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
2011/09/30,20110930,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/29,20110929,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/28,20110928,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/27,20110927,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/26,20110926,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/25,20110925,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/24,20110924,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/23,20110923,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/22,20110922,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/21,20110921,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/20,20110920,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/19,20110919,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/18,20110918,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/17,20110917,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/16,20110916,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/15,20110915,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/14,20110914,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/13,20110913,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/12,20110912,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/11,20110911,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/10,20110910,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/09,20110909,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/08,20110908,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/07,20110907,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/06,20110906,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/05,20110905,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/04,20110904,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/03,20110903,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WeekEnd,0,None,None,Back to School,None
2011/09/02,20110902,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/09/01,20110901,2011,CY 2011,20113,Q3-2011,201109,Sep-11,9,September,WorkDay,0,None,None,Back to School,None
2011/08/31,20110831,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/30,20110830,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/29,20110829,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/28,20110828,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/27,20110827,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/26,20110826,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/25,20110825,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/24,20110824,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/23,20110823,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/22,20110822,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/21,20110821,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/20,20110820,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/19,20110819,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/18,20110818,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/17,20110817,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/16,20110816,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/15,20110815,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/14,20110814,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/13,20110813,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/12,20110812,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/11,20110811,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/10,20110810,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/09,20110809,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/08,20110808,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/07,20110807,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/06,20110806,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WeekEnd,0,None,Back to School,Back to School,None
2011/08/05,20110805,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/04,20110804,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/03,20110803,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/02,20110802,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/08/01,20110801,2011,CY 2011,20113,Q3-2011,201108,Aug-11,8,August,WorkDay,0,None,Back to School,Back to School,None
2011/07/31,20110731,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/30,20110730,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/29,20110729,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/28,20110728,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/27,20110727,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/26,20110726,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/25,20110725,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/24,20110724,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/23,20110723,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/22,20110722,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/21,20110721,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/20,20110720,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/19,20110719,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/18,20110718,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/17,20110717,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/16,20110716,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/15,20110715,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/14,20110714,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/13,20110713,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/12,20110712,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/11,20110711,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/10,20110710,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/09,20110709,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/08,20110708,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/07,20110707,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/06,20110706,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/05,20110705,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/04,20110704,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/07/03,20110703,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/02,20110702,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WeekEnd,0,None,Back to School,Back to School,None
2011/07/01,20110701,2011,CY 2011,20113,Q3-2011,201107,Jul-11,7,July,WorkDay,0,None,Back to School,Back to School,None
2011/06/30,20110630,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/29,20110629,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/28,20110628,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/27,20110627,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/26,20110626,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/25,20110625,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/24,20110624,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/23,20110623,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/22,20110622,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/21,20110621,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/20,20110620,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/19,20110619,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/18,20110618,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/17,20110617,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/16,20110616,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/15,20110615,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/14,20110614,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/13,20110613,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/12,20110612,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/11,20110611,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/10,20110610,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/09,20110609,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/08,20110608,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/07,20110607,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/06,20110606,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/05,20110605,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/04,20110604,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WeekEnd,0,None,None,None,None
2011/06/03,20110603,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
2011/06/02,20110602,2011,CY 2011,20112,Q2-2011,201106,Jun-11,6,June,WorkDay,0,None,None,None,None
